0,1,496
0,2,2
0,3,40
0,4,180
0,5,19
1,0,166
1,2,816
1,4,27
1,5,429
1,15,88
2,0,229
2,11,19
2,12,491
2,13,21
2,14,8
3,63,372
3,64,303
3,65,294
3,66,3
3,67,531
4,7,15
4,16,586
4,17,364
4,18,877
4,19,479
5,6,192
5,7,685
5,8,748
5,9,615
5,10,783
6,5,163
6,7,809
6,8,204
6,9,958
6,20,67
7,5,63
7,8,794
7,9,381
7,30,465
7,290,121
8,13,116
8,21,175
8,22,49
8,23,716
8,24,534
10,5,562
10,7,218
10,137,469
10,138,747
10,139,753
11,6,400
11,9,904
11,20,747
11,25,90
11,26,636
12,260,714
12,261,17
12,262,432
12,263,403
12,264,276
13,20,986
13,21,804
13,23,697
13,140,419
13,141,735
14,13,278
14,21,358
14,27,434
14,28,946
14,29,123
15,68,647
15,69,349
15,70,105
15,71,186
15,72,79
16,4,434
16,7,960
16,19,543
16,73,495
16,75,974
17,6,219
17,7,380
17,8,397
17,30,283
17,31,504
18,32,140
18,33,518
18,34,966
18,35,559
18,36,910
19,4,658
19,16,442
19,73,694
19,74,65
19,75,757
20,6,702
20,7,498
20,8,156
20,23,225
20,30,327
